Strike,Total_GEX,Total_Abs_Gamma,Call_OI,Put_OI
0.91,-87522.16591798431,0.7001773273438745,1,1
0.93,0.0,0.0,8,2
0.95,0.0,0.0,71,267
0.97,-66078.96516882244,0.5286317213505796,729,1
0.98,0.0,0.0,2,2
0.99,-9779470.232113888,78.23576185691111,70,77
1.0,-31419242.870958917,251.35394296767134,0,235
1.01,0.0,0.0,0,6
1.015,0.0,0.0,0,0
1.02,0.0,0.0,1,25
1.025,-2220631.8703222545,17.765054962578034,1,21
1.03,-16049794.991658064,128.39835993326452,0,102
1.035,-1238647.5307066801,9.909180245653442,15,15
1.04,-18170289.55499827,145.36231643998616,4,109
1.045,-1283657.6367916001,10.269261094332801,6,15
1.05,0.0,0.0,1,102
1.055,-1015667.739696954,8.125341917575632,1,18
1.06,0.0,0.0,1,22
1.065,-5013572.894922754,40.10858315938203,7,104
1.07,0.0,0.0,0,734
1.075,0.0,0.0,5,4
1.08,-6442254.946504116,51.53803957203293,0,30
1.085,0.0,0.0,1,1
1.09,-250653924.5844242,2005.2313966753936,0,1088
1.095,-238931.96465325024,1.9114557172260018,0,1
1.1,0.0,0.0,29,1878
1.105,0.0,0.0,6,196
1.11,15484413.66065829,123.87530928526633,27,1589
1.115,0.0,0.0,10,735
1.12,-207074510.61684155,1656.5960849347325,2,859
1.125,0.0,0.0,1,10
1.13,0.0,0.0,6,60
1.135,0.0,0.0,2,49
1.14,-23422203.314125918,187.37762651300733,0,67
1.1425,-7.930535208873713e-190,6.344428167098971e-195,0,32
1.145,-64322559.00472644,514.5804720378115,0,175
1.1475,-24139867.900670525,193.1189432053642,0,64
1.15,-115797765.44943216,926.3821236658629,3,299
1.1525,258450452.80712354,2131.2655784319627,2,10
1.155,-2.1312020089535696e-05,1.7049616071628556e-10,0,63
1.1575,1006465519.5045147,8076.330724713694,172,20
1.16,-9.121351250148922e-111,7.297081000119138e-116,0,37
1.1625,1.1249688745580862e-200,1.7762666440390835e-205,113,37
1.165,0.0,0.0,0,16
1.1675,0.0,0.0,0,230
1.17,0.0,0.0,0,194
1.1725,0.0,0.0,0,6
1.175,0.0,0.0,137,0
1.1775,0.0,0.0,147,0
1.18,27039038.42932538,216.31230743460304,85,0
1.1825,64398566.99011969,515.1885359209575,206,8
1.185,0.0,0.0,150,53
1.1875,0.0,0.0,153,0
1.19,0.0,0.0,2,0
1.1925,0.0,0.0,204,137
1.195,637923149.7935835,5103.385198348668,3834,219
1.1975,4820812.586910924,38.566500695287395,17,16
1.2,140260.65178984276,1.122085214318742,1,190
1.2025,328121.31142904755,2.6249704914323804,2,2
1.205,0.0,0.0,1261,162
1.21,0.0,0.0,2436,215
1.215,0.0,0.0,1,0
1.22,4242899.016938564,33.94319213550852,17,1
1.225,85862.40590016649,0.6868992472013319,1,0
1.23,145654994.39421067,1165.2399551536853,1329,0
1.235,108551.45242788944,0.8684116194231155,1,0
1.24,226042.34529432026,1.8083387623545621,1,0
1.245,1591666.2602505484,12.733330082004388,11,0
1.25,1427750.9372036934,11.422007497629547,10,1
1.255,24093656.990329348,192.74925592263477,114,1
1.26,40139791.20129768,321.1183296103814,194,0
1.265,0.0,0.0,402,101
1.27,179150078.3177337,1433.2006265418697,902,47
1.28,2101285.662548486,16.81028530038789,11,0
1.29,38835383.10908102,310.6830648726482,211,912
1.3,9058873.555288242,72.47098844230594,51,0
1.31,0.0,0.0,29,43
1.32,1329260.1718577878,10.634081374862301,8,40
1.33,6601861.993588353,52.81489594870682,41,40
1.34,2343428.4732836555,18.747427786269245,15,1
1.35,151746.29013043398,1.2139703210434718,1,0
1.36,0.0,0.0,5,4
1.37,0.0,0.0,8,5
