Currency,Strike,Total_GEX,Total_Abs_Gamma,Call_OI,Put_OI
GBP,1.02,-113854.117288629,1.821665876618064,0.0,14.0
GBP,1.07,-398024.4062051665,6.368390499282664,0.0,12.0
GBP,1.08,-196565.18985179887,3.145043037628782,0.0,6.0
GBP,1.1,-766945.6744321036,12.271130790913658,0.0,24.0
GBP,1.11,-93408.39845627405,1.4945343753003848,0.0,2.0
GBP,1.12,0.0,0.0,0.0,52.0
GBP,1.13,-4963007.2074267715,79.40811531882835,0.0,110.0
GBP,1.14,-2955281.3887391165,47.28450221982586,0.0,56.0
GBP,1.15,0.0,0.0,0.0,160.0
GBP,1.16,-4024193.108110527,64.38708972976843,0.0,70.0
GBP,1.17,-5883084.799265906,94.1293567882545,0.0,232.0
GBP,1.175,-2473777.1109310132,39.580433774896214,0.0,32.0
GBP,1.18,0.0,0.0,0.0,100.0
GBP,1.19,0.0,0.0,0.0,112.0
GBP,1.2,0.0,0.0,2.0,314.0
GBP,1.205,-1924013.1234642875,30.7842099754286,0.0,30.0
GBP,1.21,0.0,0.0,2.0,124.0
GBP,1.215,-102694.99294807183,1.6431198871691493,0.0,4.0
GBP,1.22,-11804547.526241498,188.87276041986397,0.0,392.0
GBP,1.225,0.0,0.0,0.0,20.0
GBP,1.23,-46740389.672956064,747.846234767297,2.0,2344.0
GBP,1.235,-13082012.460048776,209.31219936078043,0.0,106.0
GBP,1.24,0.0,0.0,0.0,126.0
GBP,1.245,-11311047.396595046,180.97675834552072,0.0,72.0
GBP,1.25,0.0,0.0,0.0,1862.0
GBP,1.255,-3060479.519638352,48.96767231421364,0.0,74.0
GBP,1.26,0.0,0.0,2.0,226.0
GBP,1.265,0.0,0.0,0.0,2696.0
GBP,1.27,0.0,0.0,62.0,478.0
GBP,1.275,0.0,0.0,0.0,266.0
GBP,1.28,0.0,0.0,8.0,1308.0
GBP,1.285,0.0,0.0,2.0,1422.0
GBP,1.29,0.0,0.0,20.0,1143.0
GBP,1.295,0.0,0.0,0.0,816.0
GBP,1.3,0.0,0.0,14.0,3060.0
GBP,1.305,-4.7240992411622245e-289,7.55855878585956e-294,0.0,3266.0
GBP,1.31,-3.0574848214295033e-111,5.51915208791377e-116,50.0,830.0
GBP,1.315,-9.592318859622133e-12,1.5513005923111035e-16,20.0,3734.0
GBP,1.317,-38565327.782928795,617.0452445268608,0.0,120.0
GBP,1.32,-1886527854.0587747,35609.91035879663,512.0,6209.0
GBP,1.322,-108644355.70759991,1738.3096913215986,0.0,528.0
GBP,1.325,-3.779001354121352e-49,6.309557378197038e-54,128.0,6010.0
GBP,1.327,-48263692.96752224,772.2190874803558,0.0,416.0
GBP,1.33,-1.2316533284984742e-183,2.029048335941733e-188,128.0,8766.0
GBP,1.332,-9681056.53186319,154.89690450981104,0.0,344.0
GBP,1.335,0.0,0.0,2296.0,2202.0
GBP,1.337,0.0,0.0,219.0,895.0
GBP,1.34,0.0,0.0,2750.0,20194.0
GBP,1.342,0.0,0.0,950.0,1004.0
GBP,1.345,0.0,0.0,1816.0,1536.0
GBP,1.347,0.0,0.0,3246.0,1420.0
GBP,1.35,0.0,0.0,2342.0,1724.0
GBP,1.352,0.0,0.0,744.0,38.0
GBP,1.355,0.0,0.0,6272.0,4610.0
GBP,1.357,60269792.50809226,964.3166801294761,1200.0,110.0
GBP,1.36,0.0,0.0,6746.0,756.0
GBP,1.362,174195769.27672246,2787.1323084275596,1906.0,8.0
GBP,1.365,0.0,0.0,3480.0,788.0
GBP,1.367,28929678.907288596,462.87486251661755,237.0,14.0
GBP,1.37,0.0,0.0,3968.0,652.0
GBP,1.372,247986961.104079,3967.791377665264,912.0,0.0
GBP,1.375,0.0,0.0,1329.0,0.0
GBP,1.377,126848557.67799956,2029.5769228479928,608.0,0.0
GBP,1.38,0.0,0.0,2976.0,830.0
GBP,1.382,30475698.1738261,487.6111707812176,128.0,0.0
GBP,1.385,0.0,0.0,3102.0,0.0
GBP,1.39,0.0,0.0,1214.0,16.0
GBP,1.395,0.0,0.0,494.0,0.0
GBP,1.4,0.0,0.0,1500.0,24.0
GBP,1.405,0.0,0.0,1010.0,4.0
GBP,1.41,0.0,0.0,2404.0,2.0
GBP,1.415,0.0,0.0,894.0,0.0
GBP,1.42,0.0,0.0,1089.0,4.0
GBP,1.425,18055774.79384896,288.8923967015834,788.0,0.0
GBP,1.43,91113671.44859059,1457.8187431774495,3436.0,2.0
GBP,1.44,0.0,0.0,236.0,2.0
GBP,1.45,24769551.372530926,396.31282196049483,244.0,2.0
GBP,1.46,29078186.514698982,465.2509842351837,350.0,4.0
GBP,1.47,10471380.328283437,167.54208525253497,444.0,2.0
GBP,1.48,6997726.65580368,111.9636264928589,212.0,0.0
GBP,1.49,5666356.38044133,90.66170208706129,70.0,0.0
GBP,1.5,11259299.221908713,180.1487875505394,120.0,2400.0
GBP,1.51,2919189.361150698,46.70702977841116,34.0,0.0
GBP,1.52,278440.78404622443,4.455052544739591,4.0,0.0
GBP,1.54,184657.0573088131,2.9545129169410096,8.0,0.0
GBP,1.55,38089.01194849963,0.6094241911759941,4.0,0.0
GBP,1.57,328632.1252507412,5.258114004011859,20.0,0.0
GBP,1.58,0.0,0.0,106.0,0.0
