Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
NAS,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
NAS,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29876.152547848676,29098.347452151324,30265.055095697353,28709.444904302647,SEP26,AUG26,2026-08-07,2026-09-18,29487.25,29252.492062743466,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;DEC29=SERIES_FORWARD_CLUSTER;OCT26=SERIES_FORWARD_CLUSTER;DEC26=SERIES_FORWARD_CLUSTER;MAR27=SERIES_FORWARD_CLUSTER;JUN27=SERIES_FORWARD_CLUSTER;DEC28=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY,AUG26=29487.25;SEP26=29488.375;DEC29=29296.95;OCT26=30352.5;DEC26=28807;MAR27=25122.75;JUN27=23638;DEC28=19739.25;DEC27=16240.375,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;DEC27=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-08-14,5,159,0.0,NONE,5009,5008,0,0,0,NONE,MN1;MN2;MN3;MN4;MN5;QMW;QRW;QTW;QWW,OK,NONE,NONE,2026-08-06
