Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
SPX,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
