Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
USDCAD,1.2195121951,-18406.21850144328,956379.0479367892,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2345679012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.25,-2070172.363533046,107556681.69586626,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2578616352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2658227848,-164111.36926237252,8730273.696475603,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2738853503,-23594.544196249393,1197846.530361333,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2820512821,-33878.53882548797,1746932.412857046,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2903225806,-122597.29207072477,6315946.411927357,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.2987012987,-91945.9098905443,4741609.0249251975,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
USDCAD,1.3071895425,-284947.30696941406,14767906.261637585,0.0,0.0,0.0,0.0,0.0,0.0,1.4022323148322784,1.3950079991677218,1.405844472664557,1.3913958413354433,SEP26,AUG26,2026-08-10,2026-09-04,1.398620157,1.4022495875211496,FOUND,ESTIMATED,ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;JUN27=SERIES_FORWARD_CLUSTER;MAR27=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=SERIES_FORWARD_CLUSTER;JUL27=SERIES_FORWARD_CLUSTER;APR27=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER;MAR28=SERIES_FORWARD_CLUSTER,AUG26=1.398620157;JAN27=1.387290014;DEC26=1.393213117;OCT26=1.393266704;NOV26=1.393330345;JUN27=1.612903226;MAR27=1.387849024;SEP26=1.399042889;FEB27=1.387480951;MAY27=1.538461539;JUL27=1.368334889;APR27=1.381975683;JUN28=1.336074474;MAR28=1.379426351,NONE,WEIGHTED_ATM,2026-09-04,20,33,0.0,NONE,756,417,0,0,0,NONE,MCM;SCD;TCD;WCD,OK,NONE,NONE,2026-08-06
